hostname,pl_name,st_teff,st_mass,st_rad,st_lum,st_met,st_age,st_spectype,ra,dec,sy_dist,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_orbper,pl_bmasse,pl_rade,pl_dens,pl_eqt
"HD 128311","HD 128311 c",4965.00,0.828000,0.760000,-0.51160,0.0800,0.9600,"K0",219.0032292,9.7454368,16.32920000,1.7400000000,0.159000,55.95000,921.53800000000,1204.25787000,13.00000000,3.010000,
"HD 154672","HD 154672 b",5743.00,1.180000,1.320000,0.25722,0.2500,8.0000,"G3 IV",257.5206970,-56.4498041,63.04840000,0.6000000000,0.610000,,163.94000000000,1706.74710000,12.80000000,4.470000,
"HD 178911 B","HD 178911 B b",5588.00,1.240000,1.080000,-0.04317,0.2400,,"G5",287.2632091,34.6006972,40.97270000,0.3400000000,0.110000,,71.48400000000,2552.17490000,12.60000000,7.010000,
"HD 155358","HD 155358 b",5905.00,1.150000,1.380000,0.29949,-0.6000,10.7000,"G0",257.3930947,33.3549277,43.61970000,0.6300000000,0.170000,,194.30000000000,314.65170000,13.80000000,0.658000,
"HD 13189","HD 13189 b",4175.00,2.240000,38.410000,2.63638,-0.3700,,"K2",32.4173964,32.3164548,497.82300000,1.2500000000,0.270000,,471.60001000000,3480.23850000,12.40000000,10.000000,
"HD 131496","HD 131496 b",4846.00,1.340000,4.440000,0.99123,0.2500,2.7000,"K0",223.3461495,18.2352618,131.84900000,2.0100000000,0.181000,,896.00000000000,572.09400000,13.40000000,1.310000,
"HD 156668","HD 156668 b",4850.00,0.772000,0.720000,0.23000,0.0500,8.6000,"K2",259.4183491,29.2281610,24.33230000,0.0500000000,0.000000,,4.64550000000,4.15000000,1.87000000,3.490000,
"HD 134060","HD 134060 c",5966.00,1.095000,1.164285,0.15836,0.1400,5.6000,"G3 IV",227.6847587,-61.4223747,24.01250000,2.3928000000,0.110000,,1291.56460000000,29.29000000,5.91000000,0.780000,
"HD 158038","HD 158038 b",4860.00,1.300000,4.500000,1.07555,0.1900,2.5000,"K0",261.4395312,27.3030721,94.86250000,1.5000000000,0.290000,,521.00000000000,486.27990000,13.50000000,1.090000,
"HD 187085","HD 187085 b",6117.00,1.189000,1.270000,2.13000,0.1200,2.7470,"G0 V",297.3915731,-37.7809929,45.89930000,2.1000000000,0.251000,,1019.74000000000,265.70588000,13.90000000,0.544000,
"24 Sex","24 Sex b",5098.00,1.540000,4.900000,1.16400,-0.0300,2.7000,"K0 IV",155.8684866,-0.9023998,72.06910000,1.3330000000,0.090000,,452.80000000000,632.46000000,13.40000000,1.440000,
"HD 206610","HD 206610 b",4842.00,1.550000,6.120000,1.27646,0.1400,3.0000,"K0 III",325.8537599,-7.4082451,147.19200000,1.7400000000,0.100000,,673.20000000000,647.10188000,13.40000000,1.480000,
"HD 63454","HD 63454 b",4812.00,0.420000,0.770000,-0.59200,0.1000,1.0000,"K4 V",114.8406393,-78.2791464,37.68940000,0.0400000000,0.000000,,2.81805000000,79.45750000,12.31000000,0.234000,
